"","year","charter","study","vessel","boat","stationid","haul","start_date","start_time","end_time","start_latitude","start_longitude","end_latitude","end_longitude","duration","distance_fished_nm","distance_fished_km","net_width_m","aswept_nm2","aswept_nm2_new","aswept_km2_new","gear_temp","gear_depth"
"1","2016","NMFS","SBS","94","VST","A-02","70","2016-06-19","16:36:43","17:07:59",55.00892,-166.92004,55.00255,-166.96371,0.521,1.558315902,2.886,18.095,0.01522448588661,0.01522448588661,0.05222217,4.7,153
"2","2016","NMFS","SBS","94","VST","A-03","69","2016-06-19","12:54:25","13:24:57",55.01531,-166.31113,55.02024,-166.3546,0.509,1.532937923,2.839,17.969,0.014872261838203,0.014872261838203,0.051013991,4.8,140
"3","2016","NMFS","SBS","162","AKK","A-04","74","2016-06-19","07:41:14","08:12:19",54.99372,-165.75198,55.017,-165.76914,0.518,1.51727917,2.81,16.232,0.01329737987336,0.01329737987336,0.04561192,4.5,128
"4","2016","NMFS","SBS","162","AKK","A-05","72","2016-06-15","14:12:47","14:43:01",54.99758,-165.13454,54.98574,-165.17316,0.504,1.513499471,2.803,16.31,0.01332799375369,0.01332799375369,0.04571693,5.1,109
"5","2016","NMFS","SBS","162","AKK","A-06","71","2016-06-15","11:36:32","12:07:44",55.05802,-164.56774,55.03551,-164.58938,0.52,1.543737063,2.859,15.492,0.012912471185724,0.012912471185724,0.044291628,6.7,62
"6","2016","NMFS","SBS","94","VST","AZ0504","68","2016-06-19","07:51:58","08:23:57",54.83663,-165.48603,54.8367,-165.53121,0.533,1.570194956,2.908,17.395,0.01474709768378,0.01474709768378,0.05058466,4.5,151
"7","2016","NMFS","SBS","162","AKK","B-02","78","2016-06-22","10:49:06","11:19:02",55.34528,-166.97283,55.34732,-166.92975,0.499,1.483261879,2.747,18.323,0.014673812409773,0.014673812409773,0.050333281,4.7,137
"8","2016","NMFS","SBS","94","VST","B-03","71","2016-06-20","10:11:04","10:42:23",55.32109,-166.3506,55.34708,-166.35429,0.522,1.564795386,2.898,17.667,0.014926188154878,0.014926188154878,0.051198966,4.7,130
"9","2016","NMFS","SBS","162","AKK","B-04","75","2016-06-19","10:31:09","11:01:16",55.30596,-165.78965,55.33126,-165.79374,0.502,1.524838568,2.824,18.039,0.014851313734488,0.014851313734488,0.050942136,4.9,119
"10","2016","NMFS","SBS","94","VST","B-05","67","2016-06-16","12:33:47","13:06:18",55.33878,-165.1702,55.3121,-165.1725,0.542,1.603132333,2.969,17.206,0.014892850773262,0.014892850773262,0.051084614,5,109
"11","2016","NMFS","SBS","162","AKK","B-06","70","2016-06-15","09:31:45","10:01:34",55.32014,-164.54125,55.2975,-164.55888,0.497,1.487041578,2.754,16.706,0.013412944720692,0.013412944720692,0.046008324,5.5,99
"12","2016","NMFS","SBS","162","AKK","B-07","69","2016-06-15","07:06:27","07:36:49",55.33672,-164.02167,55.33641,-164.06609,0.506,1.524838568,2.824,16.596,0.013663307430432,0.013663307430432,0.046867104,6.3,78
"13","2013","NMFS","SBS","162","AKK","B-08","29","2013-06-14","17:17:02","17:47:49",55.35462,-163.42321,55.32925,-163.42627,0.513,1.525918482,2.826,15.8,0.0130171816764,0.0130171816764,0.0446508,3.2,51
"14","2014","NMFS","SBS","94","VST","B-08","25","2014-06-13","06:56:50","07:26:32",55.32451,-163.42284,55.34174,-163.39134,0.495,1.49568089,2.77,17.752,0.01433556387032,0.01433556387032,0.04917304,4.4,51
"15","2015","NMFS","SBS","94","VST","B-08","30","2015-06-08","16:24:12","16:55:53",55.34785,-163.42662,55.32368,-163.40939,0.528,1.566415257,2.901,16.457,0.013918297643481,0.013918297643481,0.047741757,5.8,51
"16","2016","NMFS","SBS","162","AKK","B-08","29","2016-06-06","07:11:39","07:41:57",55.33734,-163.4142,55.35824,-163.39027,0.505,1.498920632,2.776,15.678,0.012688136542224,0.012688136542224,0.043522128,6.1,52
"17","2016","NMFS","SBS","162","AKK","C-01","81","2016-06-23","07:28:40","07:59:20",55.66608,-167.56132,55.66837,-167.60506,0.511,1.495140933,2.769,18.187,0.014681544447999,0.014681544447999,0.050359803,4.6,134
"18","2016","NMFS","SBS","162","AKK","C-02","79","2016-06-22","13:27:55","13:57:19",55.6461,-166.98585,55.67051,-166.98857,0.49,1.468143083,2.719,18.376,0.014566255099352,0.014566255099352,0.049964344,4.7,133
"19","2016","NMFS","SBS","94","VST","C-03","72","2016-06-20","13:04:37","13:36:00",55.66121,-166.38061,55.68796,-166.38017,0.523,1.605292161,2.973,18.018,0.015616698058962,0.015616698058962,0.053567514,4.8,124
"20","2016","NMFS","SBS","162","AKK","C-04","76","2016-06-19","13:25:20","13:55:24",55.65956,-165.80587,55.68455,-165.81045,0.501,1.507559944,2.792,18.378,0.014958959379408,0.014958959379408,0.051311376,5,115
"21","2016","NMFS","SBS","94","VST","C-05","66","2016-06-16","09:49:39","10:23:01",55.67357,-165.17428,55.64631,-165.18484,0.556,1.674406657,3.101,17.344,0.015679736239552,0.015679736239552,0.053783744,5.3,106
"22","2016","NMFS","SBS","162","AKK","C-06","63","2016-06-14","07:09:17","07:36:42",55.66055,-164.58028,55.6395,-164.5641,0.457,1.377970264,2.552,16.585,0.01233911090236,0.01233911090236,0.04232492,5.6,95
"23","2016","NMFS","SBS","162","AKK","C-07","64","2016-06-14","10:06:09","10:36:09",55.68883,-163.98502,55.71383,-163.99278,0.5,1.523218697,2.821,16.47,0.01354516834671,0.01354516834671,0.04646187,4.8,92
"24","2013","NMFS","SBS","162","AKK","C-08","28","2013-06-14","14:37:17","15:07:49",55.66265,-163.39159,55.66315,-163.43561,0.509,1.498920632,2.776,16.696,0.013511999471168,0.013511999471168,0.046348096,2.8,79
"25","2014","NMFS","SBS","94","VST","C-08","26","2014-06-13","09:58:03","10:27:59",55.66498,-163.39032,55.6738,-163.43225,0.499,1.521598826,2.818,17.447,0.014333408275318,0.014333408275318,0.049165646,3.8,80
"26","2015","NMFS","SBS","94","VST","C-08","29","2015-06-08","13:16:54","13:47:44",55.67248,-163.39825,55.65641,-163.36295,0.514,1.540497321,2.853,16.979,0.014122175416371,0.014122175416371,0.048441087,4.8,80
"27","2016","NMFS","SBS","162","AKK","C-08","30","2016-06-06","09:38:09","10:08:27",55.667,-163.39615,55.69172,-163.39051,0.505,1.49568089,2.77,16.661,0.01345453073701,0.01345453073701,0.04615097,5,80
"28","2013","NMFS","SBS","162","AKK","C-09","27","2013-06-14","11:56:39","12:27:11",55.68222,-162.83799,55.65726,-162.83321,0.509,1.50648003,2.79,16.041,0.01304738157987,0.01304738157987,0.04475439,2.9,51
"29","2014","NMFS","SBS","162","AKK","C-09","30","2014-06-13","18:38:17","19:08:39",55.67647,-162.77238,55.67513,-162.81585,0.506,1.481642008,2.744,15.556,0.012444279682912,0.012444279682912,0.042685664,4.1,47
"30","2015","NMFS","SBS","94","VST","C-09","28","2015-06-08","10:08:16","10:38:45",55.67969,-162.81077,55.66486,-162.84497,0.508,1.465443298,2.714,15.242,0.012059783806004,0.012059783806004,0.041366788,5.6,49
"31","2016","NMFS","SBS","162","AKK","C-09","28","2016-06-05","14:43:53","15:15:01",55.67869,-162.82214,55.6525,-162.83264,0.519,1.611771645,2.985,15.092,0.01313345086746,0.01313345086746,0.04504962,5.6,48
"32","2016","NMFS","SBS","162","AKK","C-18","82","2016-06-23","10:38:56","11:08:27",55.66384,-168.19127,55.68788,-168.18817,0.492,1.446004846,2.678,18.117,0.014144401600758,0.014144401600758,0.048517326,4.3,134
"33","2016","NMFS","SBS","162","AKK","D-02","80","2016-06-22","16:16:05","16:46:45",55.98868,-167.0107,56.01426,-167.00834,0.511,1.537257579,2.847,18.396,0.015268577920596,0.015268577920596,0.052373412,4.7,132
"34","2016","NMFS","SBS","94","VST","D-03","73","2016-06-20","15:45:51","16:16:38",55.99019,-166.39019,56.015,-166.39352,0.513,1.492441148,2.764,18.143,0.014619578817316,0.014619578817316,0.050147252,4.8,122
"35","2016","NMFS","SBS","94","VST","D-04","64","2016-06-15","15:27:55","16:00:51",56.01141,-165.78898,55.98529,-165.79001,0.549,1.567495171,2.903,17.014,0.014399293567186,0.014399293567186,0.049391642,5.1,106
"36","2016","NMFS","SBS","94","VST","D-05","65","2016-06-16","07:09:46","07:42:06",56.00863,-165.17626,55.98222,-165.17186,0.539,1.591793236,2.948,16.818,0.014454049878312,0.014454049878312,0.049579464,4.7,94
"37","2016","NMFS","SBS","162","AKK","D-06","61","2016-06-13","14:51:42","15:22:00",56.00578,-164.58206,55.98068,-164.57737,0.505,1.514039428,2.804,17.131,0.014003882111692,0.014003882111692,0.048035324,4.7,91
